SessionName,StartDate,Name,Organization,EndDate,RoomName
AI and Education—Developing a Data Strategy,2024-07-27 17:00:00.000,Anna Rossi,Working hard or hardly working,2024-07-27 18:00:00.000, 102
Managing Virtual Teams,2024-07-28 10:30:00.000,Ashley Hackett,Working hard or hardly working,2024-07-28 12:30:00.000, 102
Robots on the Farm,2024-07-27 15:00:00.000,Daron Seeley,Working hard or hardly working,2024-07-27 16:00:00.000, 102
Managing Virtual Teams,2024-07-28 12:30:00.000,Ashley Hackett,Working hard or hardly working,2024-07-28 14:00:00.000, 102
Data and Human Needs,2024-07-28 14:00:00.000,Johnathan Kim,Potato Chip,2024-07-28 15:30:00.000, 203
Data and Human Needs,2024-07-28 16:00:00.000,Johnathan Kim,Working hard or hardly working,2024-07-28 17:00:00.000, 202
Data and Human Needs,2024-07-29 08:30:00.000,Johnathan Kim,Potato Chip,2024-07-29 10:00:00.000, 203
AI on the Farm,2024-07-27 17:00:00.000,Donal Trump,Potato Chip,2024-07-27 17:00:00.000, 102
AI on the Farm,2024-07-27 17:00:00.000,Donal Trump,Potato Chip,2024-07-27 16:00:00.000, 201
Robots on the Beach,2024-07-28 12:30:00.000,Lionel Messi,Working hard or hardly working,2024-07-27 14:00:00.000, 101
Let them Eat Cake—or Do not,2024-07-28 12:00:00.000,Lionel Messi,Working hard or hardly working,2024-07-28 12:30:00.000, 103
Diet and Medicines,2024-07-28 14:00:00.000,Bart Simpson,Fox Corp,2024-07-28 14:30:00.000, 103
Diet and Medicines,2024-07-27 10:30:00.000,Bart Simpson,Fox Corp,2024-07-27 11:00:00.000, 102
Making Things from Other Things,2024-07-29 08:30:00.000,Bart Simpson,Fox Corp,2024-07-29 09:00:00.000, 103
AI and Education—Developing a Data Strategy,2024-07-29 12:30:00.000,Bart Simpson,Fox Corp,2024-07-29 14:00:00.000, 101
